order_date,sales,year,month,day,day_of_week,is_weekend,lag_1,lag_7,lag_30,rolling_mean_7,rolling_mean_30
2014-05-04,5295.098000000001,2014,5,4,6,1,705.562,0.0,475.844,1488.036571428571,982.0490666666667
2014-05-05,260.977,2014,5,5,0,0,5295.098000000001,2578.476,187.43200000000002,1156.9652857142853,984.5005666666668
2014-05-06,0.0,2014,5,6,1,0,260.977,768.8439999999999,456.272,1047.1304285714282,969.2915
2014-05-07,1444.104,2014,5,7,2,0,0.0,1048.74,247.40800000000002,1103.6109999999996,1009.1813666666668
2014-05-08,2408.7239999999997,2014,5,8,3,0,1444.104,19.536,2743.154,1444.9235714285712,998.0337000000001
2014-05-09,296.304,2014,5,9,4,0,2408.7239999999997,0.0,0.0,1487.252714285714,1007.9105
2014-05-10,191.9,2014,5,10,5,1,296.304,705.562,728.7479999999999,1413.8724285714284,990.0155666666667
2014-05-11,1694.564,2014,5,11,6,1,191.9,5295.098000000001,6693.7480000000005,899.5104285714281,823.3761
2014-05-12,2963.642,2014,5,12,0,0,1694.564,260.977,129.98,1285.6054285714283,917.8315
2014-05-13,898.382,2014,5,13,1,0,2963.642,0.0,638.576,1413.9457142857138,926.4917
2014-05-14,310.88,2014,5,14,2,0,898.382,1444.104,0.0,1252.0565714285708,936.8543666666666
2014-05-15,0.0,2014,5,15,3,0,310.88,2408.7239999999997,294.71999999999997,907.9531428571426,927.0303666666666
2014-05-16,289.28,2014,5,16,4,0,0.0,296.304,39.072,906.9497142857139,935.3706333333334
2014-05-17,91.68,2014,5,17,5,1,289.28,191.9,0.0,892.632571428571,938.4266333333334
2014-05-18,948.9480000000001,2014,5,18,6,1,91.68,1694.564,1020.532,786.1159999999998,936.0405
2014-05-19,91.62,2014,5,19,0,0,948.9480000000001,2963.642,205.47,375.82714285714246,932.2455000000001
2014-05-20,320.10400000000004,2014,5,20,1,0,91.62,898.382,1250.45,293.2159999999996,901.2339666666667
2014-05-21,4264.3279999999995,2014,5,21,2,0,320.10400000000004,310.88,845.36,857.9942857142853,1015.1995666666667
2014-05-22,180.93,2014,5,22,3,0,4264.3279999999995,0.0,257.752,883.8414285714282,1012.6388333333332
2014-05-23,323.75800000000004,2014,5,23,4,0,180.93,289.28,643.98,888.7668571428568,1001.9647666666666
2014-05-24,116.28,2014,5,24,5,1,323.75800000000004,91.68,0.0,892.2811428571424,1005.8407666666666
2014-05-25,119.53999999999999,2014,5,25,6,1,116.28,948.9480000000001,2379.9939999999997,773.7942857142853,930.4923
2014-05-26,1325.718,2014,5,26,0,0,119.53999999999999,91.62,282.568,950.0939999999997,965.2639666666668
2014-05-27,2157.394,2014,5,27,1,0,1325.718,320.10400000000004,0.0,1212.5639999999996,1037.1771
2014-05-28,221.96800000000002,2014,5,28,2,0,2157.394,4264.3279999999995,2578.476,635.0839999999996,958.6268333333334
2014-05-29,0.0,2014,5,29,3,0,221.96800000000002,180.93,768.8439999999999,609.2368571428567,932.9987000000001
2014-05-30,1924.913,2014,5,30,4,0,0.0,323.75800000000004,1048.74,837.9732857142853,962.2044666666666
2014-05-31,773.7,2014,5,31,5,1,1924.913,116.28,19.536,931.8904285714282,987.3432666666666
2014-06-01,4407.1,2014,6,1,6,1,773.7,119.53999999999999,0.0,1544.3989999999997,1134.2466
2014-06-02,330.512,2014,6,2,0,0,4407.1,1325.718,705.562,1402.226714285714,1121.7449333333336
2014-06-03,0.0,2014,6,3,1,0,330.512,2157.394,5295.098000000001,1094.027571428571,945.2416666666667
2014-06-04,1650.69,2014,6,4,2,0,0.0,221.96800000000002,260.977,1298.1307142857138,991.5654333333332
2014-06-05,254.456,2014,6,5,3,0,1650.69,0.0,0.0,1334.481571428571,1000.0473
2014-06-06,1374.0010000000002,2014,6,6,4,0,254.456,1924.913,1444.104,1255.7798571428568,997.7105333333333
2014-06-07,1038.472,2014,6,7,5,1,1374.0010000000002,773.7,2408.7239999999997,1293.6044285714283,952.0354666666666
2014-06-08,262.89,2014,6,8,6,1,1038.472,4407.1,296.304,701.5744285714281,950.9216666666667
2014-06-09,100.36,2014,6,9,0,0,262.89,330.512,191.9,668.6955714285712,947.8703333333332
2014-06-10,494.71,2014,6,10,1,0,100.36,0.0,1694.564,739.3684285714282,907.8752000000001
2014-06-11,43.68,2014,6,11,2,0,494.71,1650.69,2963.642,509.795571428571,810.5431333333333
2014-06-12,1970.978,2014,6,12,3,0,43.68,254.456,898.382,755.0129999999997,846.2963333333333
2014-06-13,14.52,2014,6,13,4,0,1970.978,1374.0010000000002,310.88,560.8014285714282,836.4176666666667
2014-06-14,212.94,2014,6,14,5,1,14.52,1038.472,0.0,442.86828571428526,843.5156666666667
2014-06-15,942.9739999999999,2014,6,15,6,1,212.94,262.89,289.28,540.0231428571425,865.3054666666666
2014-06-16,763.792,2014,6,16,0,0,942.9739999999999,100.36,91.68,634.7991428571424,887.7091999999999
2014-06-17,3418.5020000000004,2014,6,17,1,0,763.792,494.71,948.9480000000001,1052.4837142857139,970.0276666666666
2014-06-18,139.8,2014,6,18,2,0,3418.5020000000004,43.68,91.62,1066.2151428571426,971.6336666666666
2014-06-19,0.0,2014,6,19,3,0,139.8,1970.978,320.10400000000004,784.6468571428568,960.9635333333333
2014-06-20,1828.9496,2014,6,20,4,0,0.0,14.52,4264.3279999999995,1043.8510857142853,879.7842533333334
2014-06-21,4107.443,2014,6,21,5,1,1828.9496,212.94,180.93,1600.208657142857,1010.66802
2014-06-22,1975.498,2014,6,22,6,1,4107.443,942.9739999999999,323.75800000000004,1747.7120857142854,1065.72602
2014-06-23,109.49600000000001,2014,6,23,0,0,1975.498,763.792,116.28,1654.2412285714283,1065.4998866666667
2014-06-24,4.272,2014,6,24,1,0,109.49600000000001,3418.5020000000004,119.53999999999999,1166.4940857142853,1061.6576200000002
2014-06-25,792.76,2014,6,25,2,0,4.272,139.8,1325.718,1259.7740857142853,1043.8923533333334
2014-06-26,0.0,2014,6,26,3,0,792.76,0.0,2157.394,1259.7740857142853,971.9792199999999
2014-06-27,616.14,2014,6,27,4,0,0.0,1828.9496,221.96800000000002,1086.515571428571,985.1182866666666
2014-06-28,1645.791,2014,6,28,5,1,616.14,4107.443,0.0,734.8509999999995,1039.9779866666665
2014-06-29,46.68,2014,6,29,6,1,1645.791,1975.498,1924.913,459.305571428571,977.3702200000001
2014-06-30,739.624,2014,6,30,0,0,46.68,109.49600000000001,773.7,549.3238571428567,976.2343533333334
2014-07-01,87.15799999999999,2014,7,1,1,0,739.624,4.272,4407.1,561.1647142857139,832.2362866666666
2014-07-02,180.32,2014,7,2,2,0,87.15799999999999,792.76,330.512,473.6732857142853,827.2298866666666
2014-07-03,1561.062,2014,7,3,3,0,180.32,0.0,0.0,696.6821428571424,879.2652866666667
2014-07-04,1021.1700000000001,2014,7,4,4,0,1561.062,616.14,1650.69,754.5435714285711,858.2812866666667
2014-07-05,1091.35,2014,7,5,5,1,1021.1700000000001,1645.791,254.456,675.3377142857138,886.1777533333333
2014-07-06,281.397,2014,7,6,6,1,1091.35,46.68,1374.0010000000002,708.8687142857137,849.75762
2014-07-07,241.19400000000002,2014,7,7,0,0,281.397,739.624,1038.472,637.6644285714282,823.1816866666667
2014-07-08,0.0,2014,7,8,1,0,241.19400000000002,87.15799999999999,262.89,625.2132857142853,814.4186866666665
2014-07-09,3523.875,2014,7,9,2,0,0.0,180.32,100.36,1102.8639999999996,928.5358533333333
2014-07-10,237.35999999999999,2014,7,10,3,0,3523.875,1561.062,494.71,913.7637142857138,919.9575199999999
2014-07-11,1449.142,2014,7,11,4,0,237.35999999999999,1021.1700000000001,43.68,974.902571428571,966.8062533333333
2014-07-12,548.4,2014,7,12,5,1,1449.142,1091.35,1970.978,897.3382857142853,919.3869866666666
2014-07-13,351.216,2014,7,13,6,1,548.4,281.397,14.52,907.3124285714283,930.6101866666667
2014-07-14,292.594,2014,7,14,0,0,351.216,241.19400000000002,212.94,914.6552857142852,933.26532
2014-07-15,9.51,2014,7,15,1,0,292.594,0.0,942.9739999999999,916.0138571428568,902.1498533333335
2014-07-16,0.0,2014,7,16,2,0,9.51,3523.875,763.792,412.6031428571424,876.69012
2014-07-17,0.0,2014,7,17,3,0,0.0,237.35999999999999,3418.5020000000004,378.694571428571,762.7400533333333
2014-07-18,273.04,2014,7,18,4,0,0.0,1449.142,139.8,210.6799999999996,767.1813866666668
2014-07-19,461.326,2014,7,19,5,1,273.04,548.4,0.0,198.24085714285678,782.55892
2014-07-20,2285.786,2014,7,20,6,1,461.326,351.216,1828.9496,474.60799999999966,797.7868
2014-07-21,1961.482,2014,7,21,0,0,2285.786,292.594,4107.443,713.0205714285711,726.2547666666668
2014-07-22,1348.344,2014,7,22,1,0,1961.482,9.51,1975.498,904.282571428571,705.3496333333333
2014-07-23,2613.1839999999997,2014,7,23,2,0,1348.344,0.0,109.49600000000001,1277.594571428571,788.8059
2014-07-24,0.0,2014,7,24,3,0,2613.1839999999997,0.0,4.272,1277.594571428571,788.6635
2014-07-25,8341.289999999999,2014,7,25,4,0,0.0,273.04,792.76,2430.201714285714,1040.2811666666666
2014-07-26,5039.994,2014,7,26,5,1,8341.289999999999,461.326,0.0,3084.2971428571423,1208.2809666666665
2014-07-27,580.06,2014,7,27,6,1,5039.994,2285.786,616.14,2840.6219999999994,1207.0783000000001
2014-07-28,193.152,2014,7,28,0,0,580.06,1961.482,1645.791,2588.003428571428,1158.657
2014-07-29,0.0,2014,7,29,1,0,193.152,1348.344,46.68,2395.382857142856,1157.1009999999999
2014-07-30,1367.84,2014,7,30,2,0,0.0,2613.1839999999997,739.624,2217.476571428571,1178.0415333333333
2014-07-31,0.0,2014,7,31,3,0,1367.84,0.0,87.15799999999999,2217.476571428571,1175.1362666666669
2014-08-01,0.0,2014,8,1,4,0,0.0,8341.289999999999,180.32,1025.8637142857137,1169.1255999999998
2014-08-02,14.56,2014,8,2,5,1,0.0,5039.994,1561.062,307.9445714285709,1117.5755333333332
2014-08-03,0.0,2014,8,3,6,1,14.56,580.06,1021.1700000000001,225.0788571428566,1083.5365333333332
2014-08-04,1958.75,2014,8,4,0,0,0.0,193.152,1091.35,477.3071428571423,1112.4498666666666
2014-08-05,1799.97,2014,8,5,1,0,1958.75,0.0,281.397,734.4457142857137,1163.0689666666665
2014-08-06,2501.264,2014,8,6,2,0,1799.97,1367.84,241.19400000000002,896.363428571428,1238.4046333333333
2014-08-07,763.0740000000001,2014,8,7,3,0,2501.264,0.0,0.0,1005.3739999999996,1263.8404333333335
2014-08-08,3955.629,2014,8,8,4,0,763.0740000000001,0.0,3523.875,1570.4638571428566,1278.2322333333334
2014-08-09,14228.428,2014,8,9,5,1,3955.629,14.56,237.35999999999999,3601.016428571428,1744.6011666666668
2014-08-10,147.392,2014,8,10,6,1,14228.428,0.0,1449.142,3622.072428571428,1701.2095000000002
2014-08-11,333.576,2014,8,11,0,0,147.392,1958.75,548.4,3389.9047142857135,1694.0486999999998
2014-08-12,1095.12,2014,8,12,1,0,333.576,1799.97,351.216,3289.211857142857,1718.8455
2014-08-13,0.0,2014,8,13,2,0,1095.12,2501.264,292.594,2931.888428571428,1709.0923666666667
2014-08-14,0.0,2014,8,14,3,0,0.0,763.0740000000001,9.51,2822.8778571428566,1708.7753666666665
2014-08-15,842.7819999999999,2014,8,15,4,0,0.0,3955.629,0.0,2378.185428571428,1736.8681
2014-08-16,853.092,2014,8,16,5,1,842.7819999999999,14228.428,0.0,467.42314285714235,1765.3045
2014-08-17,500.342,2014,8,17,6,1,853.092,147.392,273.04,517.8445714285709,1772.8812333333333
2014-08-18,0.0,2014,8,18,0,0,500.342,333.576,461.326,470.19085714285666,1757.5037
2014-08-19,1439.106,2014,8,19,1,0,0.0,1095.12,2285.786,519.3317142857138,1729.2810333333332
2014-08-20,1838.722,2014,8,20,2,0,1439.106,0.0,1961.482,782.0062857142851,1725.1890333333333
2014-08-21,0.0,2014,8,21,3,0,1838.722,0.0,1348.344,782.0062857142851,1680.2442333333333
2014-08-22,23.104,2014,8,22,4,0,0.0,842.7819999999999,2613.1839999999997,664.9094285714281,1593.9082333333333
2014-08-23,565.224,2014,8,23,5,1,23.104,853.092,0.0,623.785428571428,1612.7490333333335
2014-08-24,59.74,2014,8,24,6,1,565.224,500.342,8341.289999999999,560.8422857142853,1336.6973666666668
2014-08-25,1451.6499999999999,2014,8,25,0,0,59.74,0.0,5039.994,768.2208571428565,1217.0859000000003
2014-08-26,366.81,2014,8,26,1,0,1451.6499999999999,1439.106,580.06,615.0357142857138,1209.9775666666667
2014-08-27,2070.13,2014,8,27,2,0,366.81,1838.722,193.152,648.0939999999995,1272.5435
2014-08-28,0.0,2014,8,28,3,0,2070.13,0.0,0.0,648.0939999999995,1272.5435
2014-08-29,832.3225,2014,8,29,4,0,0.0,23.104,1367.84,763.6966428571424,1254.6929166666666
2014-08-30,121.24,2014,8,30,5,1,832.3225,565.224,0.0,700.2703571428566,1258.73425
2014-08-31,92.52,2014,8,31,6,1,121.24,59.74,0.0,704.9532142857139,1261.81825
2014-09-01,40.544,2014,9,1,0,0,92.52,1451.6499999999999,14.56,503.3666428571424,1262.6843833333335
2014-09-02,0.0,2014,9,2,1,0,40.544,366.81,0.0,450.9652142857138,1262.6843833333335
2014-09-03,0.0,2014,9,3,2,0,0.0,2070.13,1958.75,155.23235714285664,1197.3927166666667
2014-09-04,0.0,2014,9,4,3,0,0.0,0.0,1799.97,155.23235714285664,1137.3937166666667
2014-09-05,394.48,2014,9,5,4,0,0.0,832.3225,2501.264,92.68342857142805,1067.1675833333334
2014-09-06,5463.008,2014,9,6,5,1,394.48,121.24,763.0740000000001,855.7931428571422,1223.83205
2014-09-07,265.521,2014,9,7,6,1,5463.008,92.52,3955.629,880.5075714285707,1100.82845
2014-09-08,3605.6850000000004,2014,9,8,0,0,265.521,40.544,14228.428,1389.813428571428,746.7370166666666
2014-09-09,4043.5879999999997,2014,9,9,1,0,3605.6850000000004,0.0,147.392,1967.4688571428565,876.6102166666666
2014-09-10,249.35999999999999,2014,9,10,2,0,4043.5879999999997,0.0,333.576,2003.0917142857138,873.8030166666666
2014-09-11,1574.094,2014,9,11,3,0,249.35999999999999,0.0,1095.12,2227.962285714285,889.7688166666667
2014-09-12,1522.652,2014,9,12,4,0,1574.094,394.48,0.0,2389.129714285714,940.5238833333333
2014-09-13,1275.408,2014,9,13,5,1,1522.652,5463.008,0.0,1790.9011428571425,983.0374833333334
2014-09-14,5023.716,2014,9,14,6,1,1275.408,265.521,842.7819999999999,2470.6432857142854,1122.40195
2014-09-15,133.436,2014,9,15,0,0,5023.716,3605.6850000000004,853.092,1974.6077142857139,1098.4134166666665
2014-09-16,33.552,2014,9,16,1,0,133.436,4043.5879999999997,500.342,1401.7454285714282,1082.85375
2014-09-17,820.523,2014,9,17,2,0,33.552,249.35999999999999,0.0,1483.3401428571422,1110.2045166666664
2014-09-18,0.0,2014,9,18,3,0,820.523,1574.094,1439.106,1258.469571428571,1062.2343166666667
2014-09-19,9338.637,2014,9,19,4,0,0.0,1522.652,1838.722,2375.0388571428566,1312.2314833333332
2014-09-20,5335.968000000001,2014,9,20,5,1,9338.637,1275.408,0.0,2955.1188571428565,1490.0970833333333
2014-09-21,2679.652,2014,9,21,6,1,5335.968000000001,5023.716,23.104,2620.2525714285707,1578.6486833333333
2014-09-22,1240.266,2014,9,22,0,0,2679.652,133.436,565.224,2778.371142857142,1601.1500833333334
2014-09-23,10662.337000000001,2014,9,23,1,0,1240.266,33.552,59.74,4296.768999999999,1954.5699833333335
2014-09-24,211.96,2014,9,24,2,0,10662.337000000001,820.523,1451.6499999999999,4209.831428571429,1913.2469833333334
2014-09-25,354.88880000000006,2014,9,25,3,0,211.96,0.0,366.81,4260.529828571429,1912.8496100000002
2014-09-26,1480.614,2014,9,26,4,0,354.88880000000006,9338.637,2070.13,3137.9551142857135,1893.199076666667
2014-09-27,773.4399999999999,2014,9,27,5,1,1480.614,5335.968000000001,0.0,2486.1653999999994,1918.9804100000001
2014-09-28,490.29200000000003,2014,9,28,6,1,773.4399999999999,2679.652,832.3225,2173.399685714285,1907.5793933333334
2014-09-29,8109.07,2014,9,29,0,0,490.29200000000003,1240.266,121.24,3154.6573999999996,2173.8403933333334
2014-09-30,987.532,2014,9,30,1,0,8109.07,10662.337000000001,92.52,1772.5423999999991,2203.674126666667
2014-10-01,54.83,2014,10,1,2,0,987.532,211.96,40.544,1750.0952571428566,2204.150326666667
2014-10-02,0.0,2014,10,2,3,0,54.83,354.88880000000006,0.0,1699.3968571428563,2204.150326666667
2014-10-03,741.956,2014,10,3,4,0,0.0,1480.614,0.0,1593.8742857142847,2228.8821933333334
2014-10-04,0.0,2014,10,4,5,1,741.956,773.4399999999999,0.0,1483.3828571428564,2228.8821933333334
2014-10-05,2343.799,2014,10,5,6,1,0.0,490.29200000000003,394.48,1748.1695714285706,2293.859493333333
2014-10-06,491.55,2014,10,6,0,0,2343.799,8109.07,5463.008,659.9524285714278,2128.144226666667
2014-10-07,0.0,2014,10,7,1,0,491.55,987.532,265.521,518.8764285714278,2119.293526666667
2014-10-08,0.0,2014,10,8,2,0,0.0,54.83,3605.6850000000004,511.0435714285707,1999.1040266666669
2014-10-09,1855.2279999999998,2014,10,9,3,0,0.0,0.0,4043.5879999999997,776.076142857142,1926.1586933333335
2014-10-10,2049.386,2014,10,10,4,0,1855.2279999999998,741.956,249.35999999999999,962.8518571428564,1986.15956
2014-10-11,2002.556,2014,10,11,5,1,2049.386,0.0,1574.094,1248.931285714285,2000.4416266666667
2014-10-12,573.336,2014,10,12,6,1,2002.556,2343.799,1522.652,996.0079999999991,1968.7977600000002
2014-10-13,2212.182,2014,10,13,0,0,573.336,491.55,1275.408,1241.8125714285707,2000.0235600000003
2014-10-14,4525.484,2014,10,14,1,0,2212.182,0.0,5023.716,1888.310285714285,1983.4158266666668
2014-10-15,206.72400000000002,2014,10,15,2,0,4525.484,0.0,133.436,1917.8422857142848,1985.85876
